<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	8767.13	8882.58	8766.38	8881.80	38483	0	200
2020.01.03	8878.74	8888.33	8717.66	8792.14	86293	0	200
2020.01.06	8755.03	8855.10	8705.41	8834.60	72179	0	200
2020.01.07	8836.51	8876.15	8808.80	8827.30	66601	0	200
2020.01.08	8823.91	8952.70	8662.08	8927.10	99071	0	200
2020.01.09	8930.43	9003.03	8913.74	8990.80	67860	0	200
2020.01.10	8991.58	9038.26	8950.09	8962.24	54420	0	200
2020.01.13	8963.02	9078.75	8963.02	9073.10	48895	0	200
2020.01.14	9072.92	9097.86	9019.33	9045.70	70154	0	200
2020.01.15	9044.97	9079.15	9007.25	9044.80	64403	0	200
2020.01.16	9046.33	9126.24	9046.33	9123.80	50049	0	200
2020.01.17	9124.29	9176.03	9117.63	9160.26	47040	0	200
2020.01.20	9161.79	9174.40	9146.92	9163.13	20899	0	200
2020.01.21	9163.13	9187.20	9102.13	9161.50	62689	0	200
2020.01.22	9168.16	9241.56	9161.32	9175.20	56242	0	200
2020.01.23	9176.43	9241.40	9140.04	9240.10	71783	0	200
2020.01.24	9240.23	9276.09	9099.46	9132.73	69604	0	200
2020.01.27	9055.00	9058.37	8918.00	8949.50	106744	0	200
2020.01.28	8943.68	9127.09	8942.94	9115.00	82066	0	200
2020.01.29	9111.91	9150.79	9065.36	9096.80	78482	0	200
2020.01.30	9103.15	9231.43	8994.80	9228.70	109803	0	200
2020.01.31	9215.52	9239.77	8960.20	9009.67	106409	0	200
2020.02.03	8973.75	9148.13	8973.12	9097.50	104899	0	200
2020.02.04	9091.80	9361.77	9066.37	9352.90	86224	0	200
2020.02.05	9351.09	9454.52	9310.74	9379.80	101610	0	200
2020.02.06	9379.90	9455.66	9353.77	9454.50	88674	0	200
2020.02.07	9458.26	9459.01	9375.79	9398.83	84231	0	200
2020.02.10	9391.30	9521.50	9321.34	9516.00	83616	0	200
2020.02.11	9513.25	9600.85	9492.22	9523.20	77598	0	200
2020.02.12	9526.47	9618.33	9514.54	9613.30	68952	0	200
2020.02.13	9609.82	9636.10	9500.19	9615.90	88924	0	200
2020.02.14	9616.49	9649.63	9580.91	9624.29	69867	0	200
2020.02.17	9626.89	9679.46	9626.89	9658.19	32023	0	200
2020.02.18	9606.94	9646.75	9525.19	9632.00	79409	0	200
2020.02.19	9632.74	9737.23	9630.36	9722.60	58897	0	200
2020.02.20	9731.69	9750.80	9507.57	9608.70	91498	0	200
2020.02.21	9606.60	9613.72	9404.13	9451.08	104133	0	200
2020.02.24	9344.96	9356.44	9036.12	9089.10	136716	0	200
2020.02.25	9079.23	9216.09	8804.30	8867.00	140753	0	200
2020.02.26	8861.38	9031.25	8704.37	8814.70	158449	0	200
2020.02.27	8812.75	8870.43	8329.61	8343.40	168008	0	200
2020.02.28	8352.48	8540.63	8124.72	8503.42	188035	0	200
2020.03.02	8319.99	8881.03	8227.68	8818.60	186073	0	200
2020.03.03	8838.72	9002.22	8512.84	8558.80	170533	0	200
2020.03.04	8554.54	8949.37	8508.69	8888.30	148648	0	200
2020.03.05	8884.98	8897.72	8612.83	8674.10	142797	0	200
2020.03.06	8675.98	8725.60	8312.19	8507.70	162816	0	200
2020.03.09	8334.79	8334.79	7822.75	7918.20	84929	0	200
2020.03.10	7896.14	8383.52	7819.29	8361.30	145081	0	200
2020.03.11	8312.58	8339.59	7898.91	8009.10	142936	0	200
2020.03.12	8002.01	8108.21	7135.21	7160.40	128567	0	200
2020.03.13	7102.63	7978.50	6946.63	7917.83	112399	0	200
2020.03.16	7896.03	7901.78	6923.00	7056.00	65676	0	200
2020.03.17	7061.01	7554.69	6949.03	7366.30	98061	0	200
2020.03.18	7327.01	7396.25	6822.95	7257.30	91759	0	200
2020.03.19	7244.00	7519.42	6892.00	7199.30	134326	0	200
2020.03.20	7190.63	7644.13	6967.77	6981.70	125211	0	200
2020.03.23	6804.76	7326.95	6634.70	6984.70	130664	0	200
2020.03.24	7030.88	7575.44	7024.26	7563.70	133020	0	200
2020.03.25	7551.64	7770.90	7377.62	7491.90	152561	0	200
2020.03.26	7505.00	7906.01	7322.52	7877.50	137407	0	200
2020.03.27	7903.63	7909.63	7571.26	7589.58	129352	0	200
2020.03.30	7398.63	7898.93	7382.01	7867.60	133686	0	200
2020.03.31	7867.50	8011.56	7762.43	7795.20	125416	0	200
2020.04.01	7789.25	7789.25	7420.50	7479.00	123810	0	200
2020.04.02	7484.00	7672.63	7393.57	7635.80	124437	0	200
2020.04.03	7640.38	7675.75	7439.93	7535.13	112606	0	200
2020.04.06	7550.88	8108.18	7550.88	8042.60	116595	0	200
2020.04.07	8038.63	8312.88	7956.63	8008.90	140885	0	200
2020.04.08	8022.13	8251.13	7963.25	8210.60	127913	0	200
2020.04.09	8197.23	8336.01	8112.32	8251.98	129258	0	200
2020.04.13	8307.85	8349.73	8082.60	8348.80	99571	0	200
2020.04.14	8350.80	8714.00	8331.05	8713.90	103736	0	200
2020.04.15	8712.75	8714.13	8497.75	8585.00	110406	0	200
2020.04.16	8585.75	8853.00	8511.25	8846.20	117712	0	200
2020.04.17	8946.13	8977.13	8700.25	8819.00	118702	0	200
2020.04.20	8803.14	8856.74	8699.16	8724.70	113520	0	200
2020.04.21	8715.15	8774.06	8355.78	8446.30	133646	0	200
2020.04.22	8460.56	8710.85	8413.13	8643.30	110281	0	200
2020.04.23	8647.46	8797.01	8594.49	8611.30	110151	0	200
2020.04.24	8591.78	8791.39	8509.95	8778.75	102386	0	200
2020.04.27	8818.30	8906.69	8740.48	8828.20	96113	0	200
2020.04.28	8830.37	8956.05	8666.07	8710.00	100876	0	200
2020.04.29	8776.88	9129.44	8744.90	9128.60	105148	0	200
2020.04.30	9105.40	9155.23	8867.79	8880.40	115009	0	200
2020.05.01	8850.60	8888.66	8685.25	8728.75	105073	0	200
2020.05.04	8618.21	8838.66	8569.30	8820.20	111557	0	200
2020.05.05	8820.44	9031.31	8810.44	8944.00	97854	0	200
2020.05.06	8937.73	9066.51	8887.90	8956.70	106411	0	200
2020.05.07	8966.43	9135.23	8941.07	9127.70	100904	0	200
