<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	09:00:00	8767.13	8776.50	8766.38	8772.63	1244	0	300
2020.01.02	10:00:00	8773.13	8785.96	8769.08	8782.61	3077	0	300
2020.01.02	11:00:00	8782.86	8793.90	8780.60	8791.42	2333	0	300
2020.01.02	12:00:00	8791.42	8798.83	8791.37	8794.63	1426	0	300
2020.01.02	13:00:00	8794.88	8795.57	8784.42	8785.74	1214	0	300
2020.01.02	14:00:00	8785.87	8796.61	8785.36	8796.61	1080	0	300
2020.01.02	15:00:00	8796.48	8808.73	8795.48	8805.38	1743	0	300
2020.01.02	16:00:00	8805.38	8829.88	8792.71	8825.95	4752	0	200
2020.01.02	17:00:00	8826.58	8827.87	8783.12	8808.19	6227	0	200
2020.01.02	18:00:00	8808.44	8813.74	8786.30	8809.72	4058	0	200
2020.01.02	19:00:00	8809.97	8825.87	8807.35	8824.99	2820	0	200
2020.01.02	20:00:00	8825.24	8826.34	8816.50	8826.21	2347	0	200
2020.01.02	21:00:00	8825.97	8845.83	8825.47	8844.38	2120	0	200
2020.01.02	22:00:00	8844.63	8870.49	8844.18	8870.49	2805	0	200
2020.01.02	23:00:00	8870.48	8882.58	8866.13	8881.80	1237	0	250
2020.01.03	01:00:00	8878.74	8888.33	8878.74	8879.63	1003	0	300
2020.01.03	02:00:00	8879.26	8884.92	8878.14	8883.43	1076	0	300
2020.01.03	03:00:00	8883.18	8887.67	8851.58	8854.82	2568	0	300
2020.01.03	04:00:00	8855.07	8859.30	8813.63	8819.36	5325	0	300
2020.01.03	05:00:00	8818.74	8821.23	8784.64	8804.19	3363	0	300
2020.01.03	06:00:00	8804.32	8819.39	8799.59	8811.81	2377	0	300
2020.01.03	07:00:00	8812.43	8815.54	8788.16	8800.28	3002	0	300
2020.01.03	08:00:00	8800.53	8801.78	8789.92	8799.24	2364	0	300
