<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.14	02:00:00	12065.18	12065.30	12038.81	12053.07	1612	0	200
2022.09.14	02:30:00	12053.44	12063.04	12044.81	12057.47	1754	0	200
2022.09.14	03:00:00	12057.09	12059.20	12019.34	12036.94	3276	0	200
2022.09.14	03:30:00	12036.44	12039.79	12007.97	12025.66	2730	0	200
2022.09.14	04:00:00	12025.54	12051.20	12022.91	12050.95	2702	0	100
2022.09.14	04:30:00	12050.83	12056.61	12038.94	12050.14	2870	0	200
2022.09.14	05:00:00	12050.01	12072.82	12048.31	12061.56	2453	0	200
2022.09.14	05:30:00	12061.68	12065.90	12052.17	12055.42	1846	0	200
2022.09.14	06:00:00	12055.05	12066.18	12052.47	12063.00	1756	0	200
2022.09.14	06:30:00	12063.50	12064.36	12042.31	12050.80	1841	0	200
2022.09.14	07:00:00	12049.68	12056.87	12043.35	12047.44	1330	0	200
2022.09.14	07:30:00	12047.57	12063.81	12047.44	12057.95	1891	0	200
2022.09.14	08:00:00	12058.32	12064.86	12051.15	12061.74	1852	0	200
2022.09.14	08:30:00	12061.99	12070.29	12022.46	12024.26	2390	0	200
2022.09.14	09:00:00	12023.15	12066.10	12016.40	12062.57	2980	0	200
2022.09.14	09:30:00	12062.94	12073.19	12053.58	12059.37	2418	0	200
2022.09.14	10:00:00	12059.86	12104.57	12034.32	12040.78	4686	0	200
2022.09.14	10:30:00	12040.65	12086.50	12040.03	12080.05	3749	0	200
2022.09.14	11:00:00	12080.17	12117.60	12075.00	12101.63	3609	0	200
2022.09.14	11:30:00	12101.50	12136.69	12101.50	12115.28	3522	0	200
2022.09.14	12:00:00	12114.53	12121.11	12093.16	12119.13	2918	0	200
2022.09.14	12:30:00	12119.00	12122.18	12083.46	12095.85	2877	0	200
2022.09.14	13:00:00	12095.60	12113.75	12090.00	12105.66	2817	0	200
2022.09.14	13:30:00	12105.04	12106.16	12077.65	12088.71	2573	0	200
2022.09.14	14:00:00	12089.08	12091.31	12048.05	12048.18	3028	0	200
2022.09.14	14:30:00	12047.31	12062.34	11999.07	12004.30	3876	0	200
2022.09.14	15:00:00	12004.18	12057.35	12000.59	12055.74	3935	0	200
2022.09.14	15:30:00	12055.49	12092.85	12027.22	12078.70	5068	0	200
2022.09.14	16:00:00	12078.83	12090.79	12065.89	12087.68	4837	0	200
2022.09.14	16:30:00	12087.68	12129.91	12017.07	12110.14	7633	0	100
